populationSize,mutationProbGene,mutationProbIndividual,crossoverRate,elitismCountperCent,numberOfGenerations,Best Fitness,RealReturn,
500,0.5,0.1,0.5,0.1,200,0.85236764,0.1792190085561923,
500,0.5,0.1,0.5,0.1,1000,-18.590988,0.2455729578309989,
500,0.5,0.1,0.5,0.1,10000,-47.496136,0.26177592548449496,
500,0.5,0.1,0.5,0.2,200,-73.6199,0.23578528557094602,
500,0.5,0.1,0.5,0.2,1000,-6.7682805,0.19758999687696344,
500,0.5,0.1,0.5,0.2,10000,-66.6002,0.21747597618902104,
500,0.5,0.5,0.1,0.1,200,-2.8010647,0.21393970009328683,
500,0.5,0.5,0.1,0.1,1000,-50.050713,0.21449961376042337,
500,0.5,0.5,0.1,0.1,10000,-68.64059,0.2581981263548919,
500,0.5,0.5,0.1,0.2,200,0.50365555,0.2675293930535664,
500,0.5,0.5,0.1,0.2,1000,-39.11595,0.2232229712381268,
500,0.5,0.5,0.1,0.2,10000,-121.32611,0.21644139630527293,
500,0.5,0.5,0.5,0.1,200,0.64090025,0.2505389572417198,
500,0.5,0.5,0.5,0.1,1000,-54.51358,0.2807972712317556,
500,0.5,0.5,0.5,0.1,10000,-97.42529,0.30002319339668754,
500,0.5,0.5,0.5,0.2,200,-77.12591,0.22225120306260865,
500,0.5,0.5,0.5,0.2,1000,-59.08746,0.2037389950703094,
500,0.5,0.5,0.5,0.2,10000,-78.47761,0.214035138601626,
1000,0.1,0.1,0.1,0.1,200,-4412.44,0.14325861404725182,
1000,0.1,0.1,0.1,0.1,1000,-1958.612,0.1567900848906919,
1000,0.1,0.1,0.1,0.1,10000,-3774.4592,0.15471912798815227,
1000,0.1,0.1,0.1,0.2,200,-2955.1213,0.10637075933333379,
1000,0.1,0.1,0.1,0.2,1000,-3068.027,0.03904003674798413,
1000,0.1,0.1,0.1,0.2,10000,-4561.4624,0.1794913304890671,
1000,0.1,0.1,0.5,0.1,200,-1556.2579,0.09853503624907384,
1000,0.1,0.1,0.5,0.1,1000,-750.65204,0.14053357356249693,
1000,0.1,0.1,0.5,0.1,10000,-3415.7217,0.07258607523204004,
1000,0.1,0.1,0.5,0.2,200,-1189.5508,0.29421483974985174,
1000,0.1,0.1,0.5,0.2,1000,-1274.904,0.3545462480709624,
1000,0.1,0.1,0.5,0.2,10000,-1932.652,0.14960907160106843,
1000,0.1,0.5,0.1,0.1,200,-1921.19,0.1116185587481699,
1000,0.1,0.5,0.1,0.1,1000,-2459.094,0.16572990805927812,
1000,0.1,0.5,0.1,0.1,10000,-4487.2373,0.07134888494434416,
1000,0.1,0.5,0.1,0.2,200,-2039.0293,0.20967108413473606,
1000,0.1,0.5,0.1,0.2,1000,-2979.2915,0.28062356451431447,
1000,0.1,0.5,0.1,0.2,10000,-6120.0083,0.20222911297647292,
1000,0.1,0.5,0.5,0.1,200,-1499.1088,0.15594149301023752,
1000,0.1,0.5,0.5,0.1,1000,-2430.9568,0.1689207705846521,
1000,0.1,0.5,0.5,0.1,10000,-1234.8099,0.20419046290138074,
1000,0.1,0.5,0.5,0.2,200,-1747.9393,0.25168351246060194,
1000,0.1,0.5,0.5,0.2,1000,-1581.1725,0.07053339732002147,
1000,0.1,0.5,0.5,0.2,10000,-8246.261,0.10202286756009933,
1000,0.5,0.1,0.1,0.1,200,-14.020608,0.17814779219210142,
1000,0.5,0.1,0.1,0.1,1000,-70.386566,0.2163925739245624,
1000,0.5,0.1,0.1,0.1,10000,-70.71676,0.2156299085553334,
1000,0.5,0.1,0.1,0.2,200,-2.5325181,0.2444272940889014,
1000,0.5,0.1,0.1,0.2,1000,-31.397915,0.2204258356752288,
1000,0.5,0.1,0.1,0.2,10000,-129.32076,0.24705602733620127,
1000,0.5,0.1,0.5,0.1,200,-67.73361,0.20326975102709202,
1000,0.5,0.1,0.5,0.1,1000,-50.308067,0.2612970089410717,
1000,0.5,0.1,0.5,0.1,10000,-61.856216,0.3048301904954725,
1000,0.5,0.1,0.5,0.2,200,-46.181133,0.17270865317189427,
1000,0.5,0.1,0.5,0.2,1000,-49.108894,0.24560018123089766,
1000,0.5,0.1,0.5,0.2,10000,-101.65353,0.21701204638443533,
1000,0.5,0.5,0.1,0.1,200,-15.779436,0.20788739373713153,
1000,0.5,0.5,0.1,0.1,1000,-78.09221,0.2594281694228109,
1000,0.5,0.5,0.1,0.1,10000,-118.98429,0.238431342393819,
1000,0.5,0.5,0.1,0.2,200,-9.279151,0.21116600630976753,
1000,0.5,0.5,0.1,0.2,1000,-71.81996,0.1823918888526362,
1000,0.5,0.5,0.1,0.2,10000,-145.97496,0.17683390193001602,
1000,0.5,0.5,0.5,0.1,200,-2.2781262,0.21600275564701818,
1000,0.5,0.5,0.5,0.1,1000,-50.8581,0.19779944987283118,
1000,0.5,0.5,0.5,0.1,10000,-71.490776,0.2821662858767204,
1000,0.5,0.5,0.5,0.2,200,-5.748516,0.2511211484377829,
1000,0.5,0.5,0.5,0.2,1000,-60.105854,0.2737566953085882,
1000,0.5,0.5,0.5,0.2,10000,-96.02495,0.24242549282917902,
2000,0.1,0.1,0.1,0.1,200,-2011.217,0.22969780521087754,
2000,0.1,0.1,0.1,0.1,1000,-4503.2153,0.11371004250927044,
2000,0.1,0.1,0.1,0.1,10000,-4374.587,0.07576198531693358,
2000,0.1,0.1,0.1,0.2,200,-1768.6714,0.10226664198169146,
2000,0.1,0.1,0.1,0.2,1000,-2795.859,0.21455724735193,
2000,0.1,0.1,0.1,0.2,10000,-3425.2717,0.19251716465720972,
2000,0.1,0.1,0.5,0.1,200,-1369.6261,0.11996199883266405,
2000,0.1,0.1,0.5,0.1,1000,-1809.6692,0.0988393585189395,
2000,0.1,0.1,0.5,0.1,10000,-2226.8833,0.2355606851594774,
2000,0.1,0.1,0.5,0.2,200,-1619.7355,0.12259770169925267,
2000,0.1,0.1,0.5,0.2,1000,-7265.6055,0.1887032782443491,
2000,0.1,0.1,0.5,0.2,10000,-5190.96,0.2379484046284827,
2000,0.1,0.5,0.1,0.1,200,-1458.6727,0.21482692682050877,
2000,0.1,0.5,0.1,0.1,1000,-6651.187,0.14430268522366668,
2000,0.1,0.5,0.1,0.1,10000,-5701.8784,0.22542983916692155,
2000,0.1,0.5,0.1,0.2,200,-4510.7144,0.22151549522713365,
2000,0.1,0.5,0.1,0.2,1000,-3283.496,0.2308088751756265,
2000,0.1,0.5,0.1,0.2,10000,-3956.7766,0.15003608337166685,
2000,0.1,0.5,0.5,0.1,200,-1149.2871,0.11946400884429886,
2000,0.1,0.5,0.5,0.1,1000,-2623.1475,0.2239064583206103,
2000,0.1,0.5,0.5,0.1,10000,-2779.0076,0.05427671735645115,
2000,0.1,0.5,0.5,0.2,200,-1651.048,0.15844081284619713,
2000,0.1,0.5,0.5,0.2,1000,-2292.3596,0.08884193699187562,
2000,0.1,0.5,0.5,0.2,10000,-1539.6896,0.18419834549536804,
2000,0.5,0.1,0.1,0.1,200,-21.900469,0.2381730528394631,
2000,0.5,0.1,0.1,0.1,1000,-45.664986,0.26949764302375917,
2000,0.5,0.1,0.1,0.1,10000,-140.73369,0.21015981664700026,
2000,0.5,0.1,0.1,0.2,200,-89.66689,0.34257247325574547,
2000,0.5,0.1,0.1,0.2,1000,-114.61169,0.22878424123235144,
2000,0.5,0.1,0.1,0.2,10000,-103.97524,0.18859086833222438,
2000,0.5,0.1,0.5,0.1,200,-46.70884,0.22048735633539235,
2000,0.5,0.1,0.5,0.1,1000,-94.56718,0.23255189852178845,
2000,0.5,0.1,0.5,0.1,10000,-115.39996,0.26994362693621404,
2000,0.5,0.1,0.5,0.2,200,-1.2519568,0.2839120984236074,
2000,0.5,0.1,0.5,0.2,1000,-28.443527,0.28009013458221427,
2000,0.5,0.1,0.5,0.2,10000,-110.24785,0.21400398824717418,
2000,0.5,0.5,0.1,0.1,200,-44.964447,0.28859060370900935,
2000,0.5,0.5,0.1,0.1,1000,-68.76818,0.3101659716037306,
2000,0.5,0.5,0.1,0.1,10000,-121.66061,0.30033420933861543,
2000,0.5,0.5,0.1,0.2,200,-70.470795,0.2949115041912492,
2000,0.5,0.5,0.1,0.2,1000,-101.88567,0.24656996396212508,
2000,0.5,0.5,0.1,0.2,10000,-125.20542,0.2825750625802322,
2000,0.5,0.5,0.5,0.1,200,-60.80443,0.27165803226076585,
2000,0.5,0.5,0.5,0.1,1000,-53.533913,0.20543288817751645,
2000,0.5,0.5,0.5,0.1,10000,-152.07693,0.19693038500682042,
2000,0.5,0.5,0.5,0.2,200,-135.89087,0.33551452507601454,
2000,0.5,0.5,0.5,0.2,1000,-110.987854,0.2143067705722957,
2000,0.5,0.5,0.5,0.2,10000,-127.723495,0.24820859292222763,
5000,0.1,0.1,0.1,0.1,200,-2467.0364,0.2803559595788671,
5000,0.1,0.1,0.1,0.1,1000,-5233.87,0.09393943527595323,
5000,0.1,0.1,0.1,0.1,10000,-5713.628,0.16191055600971643,
5000,0.1,0.1,0.1,0.2,200,-3898.695,0.056257586602805915,
5000,0.1,0.1,0.1,0.2,1000,-5966.3975,0.04025914454744509,
5000,0.1,0.1,0.1,0.2,10000,-6283.8936,0.3184537408511211,
5000,0.1,0.1,0.5,0.1,200,-5311.7266,0.2529844216291053,
5000,0.1,0.1,0.5,0.1,1000,-1915.1398,0.22338306842852917,
5000,0.1,0.1,0.5,0.1,10000,-2718.1558,0.24476225198053464,
5000,0.1,0.1,0.5,0.2,200,-1876.8363,0.14272073265600507,
5000,0.1,0.1,0.5,0.2,1000,-4800.573,0.1814984966383453,
5000,0.1,0.1,0.5,0.2,10000,-2956.6553,0.22893849562092172,
5000,0.1,0.5,0.1,0.1,200,-2559.7273,0.23160264256501084,
5000,0.1,0.5,0.1,0.1,1000,-6867.3164,0.08863709173361263,
5000,0.1,0.5,0.1,0.1,10000,-7429.7744,0.10495667502570781,
5000,0.1,0.5,0.1,0.2,200,-3375.943,0.17974812478215155,
5000,0.1,0.5,0.1,0.2,1000,-2843.871,0.18474192840468176,
5000,0.1,0.5,0.1,0.2,10000,-6781.377,0.1231588455678522,
5000,0.1,0.5,0.5,0.1,200,-2109.4023,0.16719870753535276,
5000,0.1,0.5,0.5,0.1,1000,-2070.4373,0.12111062920550891,
5000,0.1,0.5,0.5,0.1,10000,-2894.887,0.23617882802359016,
5000,0.1,0.5,0.5,0.2,200,-2739.0598,0.2854823340977194,
5000,0.1,0.5,0.5,0.2,1000,-2738.334,0.13592583612784737,
5000,0.1,0.5,0.5,0.2,10000,-3644.2454,0.0925814385607663,
5000,0.5,0.1,0.1,0.1,200,-91.898964,0.2045965431708449,
5000,0.5,0.1,0.1,0.1,1000,-124.41289,0.18914275139959685,
5000,0.5,0.1,0.1,0.1,10000,-194.5473,0.3231483156476345,
5000,0.5,0.1,0.1,0.2,200,-8.352843,0.24109063564077177,
5000,0.5,0.1,0.1,0.2,1000,-95.853294,0.18883889761150688,
5000,0.5,0.1,0.1,0.2,10000,-127.96273,0.23477881558172958,
5000,0.5,0.1,0.5,0.1,200,-27.080719,0.2018925206369185,
5000,0.5,0.1,0.5,0.1,1000,-53.20239,0.20922167891064913,
5000,0.5,0.1,0.5,0.1,10000,-116.94501,0.2784340208398441,
5000,0.5,0.1,0.5,0.2,200,-26.861956,0.2299071152500184,
5000,0.5,0.1,0.5,0.2,1000,-73.263054,0.2185050974580332,
5000,0.5,0.1,0.5,0.2,10000,-127.25218,0.26403926077014545,
5000,0.5,0.5,0.1,0.1,200,-48.333466,0.224421495688128,
5000,0.5,0.5,0.1,0.1,1000,-92.777695,0.21613614748346874,
5000,0.5,0.5,0.1,0.1,10000,-107.084236,0.2443957255355813,
5000,0.5,0.5,0.1,0.2,200,-86.95728,0.22909187621949575,
5000,0.5,0.5,0.1,0.2,1000,-65.18981,0.26262773801188927,
5000,0.5,0.5,0.1,0.2,10000,-109.62819,0.20515438646884804,
5000,0.5,0.5,0.5,0.1,200,-59.790676,0.28747236197547565,
5000,0.5,0.5,0.5,0.1,1000,-115.81238,0.2766695789481393,
5000,0.5,0.5,0.5,0.1,10000,-175.0342,0.2673576881367795,
5000,0.5,0.5,0.5,0.2,200,-65.74671,0.2318461397235313,
5000,0.5,0.5,0.5,0.2,1000,-75.051445,0.22859075323868994,
5000,0.5,0.5,0.5,0.2,10000,-151.77258,0.2918133440444216,
